"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"151","11","8","3","0","0","0","0","0","0","0"
"152","11","9","4","1","0","1","0","1","0","0"
"153","11","6","3","0","0","0","0","1","0","0"
"154","11","7","2","1","0","1","0","0","0","0"
"155","11","6","1","0","0","0","0","0","0","0"
"156","11","7","1","1","0","1","0","0","0","0"
"157","11","9","2","1","0","0","0","1","0","0"
"158","11","6","3","0","0","0","0","0","0","0"
"159","11","8","2","0","0","0","0","0","0","0"
"160","11","7","3","1","0","1","0","0","0","0"
"161","11","5","3","0","0","0","0","0","0","0"
"162","11","6","3","1","0","0","0","0","0","0"
"163","11","3","1","0","0","0","0","1","0","0"
"164","11","8","2","1","0","1","0","0","0","0"
"165","12","6","1","1","0","0","0","0","0","0"
"166","12","6","3","0","0","0","0","0","0","0"
"167","12","7","2","0","0","0","0","0","0","0"
"168","12","7","3","1","0","0","0","0","0","0"
"169","12","8","2","0","0","0","0","0","0","0"
"170","12","6","2","0","0","1","0","0","0","0"
"171","12","8","2","1","0","0","0","0","0","0"
"172","12","9","1","0","0","0","0","0","0","0"
"173","12","3","2","0","0","0","0","0","0","0"
"174","12","3","1","0","0","0","0","0","0","0"
"175","12","11","2","1","0","1","0","0","0","0"
"176","12","5","3","0","0","0","0","0","0","0"
"177","12","7","2","0","0","0","0","0","0","0"
"178","12","4","1","0","0","0","0","0","1","0"
"179","12","5","1","1","0","1","0","0","0","0"
"180","12","7","3","0","0","0","0","0","0","0"
"181","12","3","2","0","0","0","0","0","0","0"
"182","12","10","3","1","0","0","0","0","0","0"
"183","29","7","0","0","0","0","0","0","0","0"
"184","29","7","3","0","0","0","0","0","0","0"
"185","29","5","1","0","0","0","0","0","0","0"
"186","29","10","2","0","0","1","0","0","0","0"
"187","29","7","3","0","0","0","0","0","0","0"
"188","29","10","3","0","0","0","0","0","0","0"
"189","29","5","3","0","0","0","0","0","0","0"
"190","29","7","0","0","0","0","0","0","0","0"
