"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"6","7","4","2","0","0","0","0","0","0","0"
"5","7","8","0","0","0","0","0","0","0","0"
"4","7","4","2","0","0","0","0","0","0","0"
"3","7","6","0","0","0","0","0","0","0","0"
"2","7","4","2","0","0","0","0","0","0","0"
"1","7","6","0","1","0","0","0","0","0","0"
"1","8","9","3","0","0","0","0","0","0","0"
"2","8","6","0","0","0","0","0","0","0","0"
"3","8","15","1","0","0","0","0","0","0","0"
"4","8","3","0","0","0","0","0","0","0","0"
"5","8","10","1","0","0","0","0","0","0","0"
"6","8","5","0","0","0","0","0","0","0","0"
"7","8","5","1","0","0","0","0","0","0","0"
"8","8","9","1","0","0","0","0","0","0","0"
"9","8","2","1","0","0","0","0","0","0","0"
"10","8","5","1","0","0","0","0","0","0","0"
"11","8","7","0","0","0","0","0","0","0","0"
"12","8","7","2","0","0","0","0","0","0","0"
"13","8","2","0","0","0","0","0","0","0","0"
"14","8","12","2","0","0","0","0","0","0","0"
"15","8","5","0","0","0","0","0","0","0","0"
"16","8","4","2","0","0","0","0","0","0","0"
"17","8","6","3","0","0","0","0","0","0","0"
"18","8","3","1","0","0","1","0","0","0","0"
"19","8","4","2","0","0","0","0","0","0","0"
"20","8","6","2","0","0","0","0","0","0","0"
"20","9","2","2","0","0","0","0","0","0","0"
"19","9","6","2","0","0","0","0","0","0","0"
"18","9","4","2","0","0","0","0","0","0","0"
"17","9","8","2","0","0","0","0","0","0","0"
"16","9","8","1","0","0","0","0","0","0","0"
"15","9","7","2","0","0","0","0","0","0","0"
"14","9","6","2","0","0","0","0","0","0","0"
"13","9","6","2","0","0","0","0","0","0","0"
"12","9","4","0","0","0","0","0","0","0","0"
"11","9","7","2","0","0","0","0","0","0","0"
"10","9","14","0","0","0","0","0","0","0","0"
"9","9","5","0","0","0","0","0","0","0","0"
"8","9","7","0","0","0","0","0","0","0","0"
"7","9","5","2","0","0","0","0","0","0","0"
"6","9","4","1","0","0","0","0","0","0","0"
"5","9","4","1","0","0","0","0","0","0","0"
"4","9","8","1","0","0","0","0","0","0","0"
"3","9","4","2","0","0","0","0","0","0","0"
"2","9","4","2","0","0","0","0","0","0","0"
"1","9","7","2","0","0","0","0","1","0","0"
"1","10","8","0","0","0","0","0","0","0","0"
"2","10","7","2","0","0","0","0","0","0","0"
"3","10","7","0","0","0","0","0","0","0","0"
"4","10","7","1","0","0","0","0","0","0","0"
"5","10","3","1","0","0","0","0","0","0","0"
"6","10","8","0","0","0","0","0","0","0","0"
"7","10","4","1","0","0","0","0","0","0","0"
"8","10","5","1","0","0","0","0","0","0","0"
"9","10","6","2","0","0","0","0","0","0","0"
"10","10","6","3","0","0","0","0","0","0","0"
"11","10","4","1","0","0","0","0","0","0","0"
"12","10","8","3","0","0","0","0","0","0","0"
"13","10","6","1","0","0","0","0","0","0","0"
"14","10","8","2","0","0","0","0","0","0","0"
"15","10","5","2","0","0","0","0","0","0","1"
"16","10","6","3","0","0","0","0","0","0","0"
"17","10","5","3","0","0","0","0","0","0","0"
"18","10","4","0","0","0","0","0","0","0","0"
"20","1","5","3","0","0","0","0","0","0","0"
"19","1","4","2","0","0","0","0","0","0","0"
"18","1","2","1","0","0","0","0","0","0","0"
"17","1","3","1","0","0","0","0","0","0","0"
"16","1","3","1","0","0","0","0","0","0","0"
"15","1","2","0","0","0","0","0","0","0","0"
"14","1","5","2","0","0","0","0","0","0","0"
"13","1","6","3","0","0","0","0","0","0","0"
"12","1","7","1","0","0","2","0","0","0","0"
"11","1","8","2","1","0","0","0","0","0","0"
"10","1","8","0","0","0","1","0","0","0","0"
"9","1","4","1","0","0","0","0","0","0","0"
"8","1","6","1","0","0","1","0","0","0","0"
"7","1","3","1","0","0","0","0","0","0","0"
"6","1","7","0","1","0","0","0","0","1","0"
"5","1","4","0","0","0","0","0","0","0","0"
"4","1","12","2","4","0","0","0","0","1","0"
"3","1","15","2","0","0","0","0","0","0","0"
"2","1","11","2","3","0","0","0","0","0","0"
"1","1","5","1","0","0","0","0","0","0","0"
"1","2","9","0","0","0","0","0","0","0","0"
"2","2","10","1","0","0","0","0","0","0","0"
"3","2","7","2","0","0","0","0","0","0","0"
"4","2","4","2","0","0","0","0","0","0","0"
"5","2","13","3","1","0","0","0","0","0","0"
"6","2","6","2","0","0","0","0","0","0","0"
"7","2","2","1","0","0","0","0","0","0","0"
"8","2","5","3","0","0","0","0","0","0","0"
"9","2","3","1","0","0","0","0","0","0","0"
"10","2","5","1","0","0","0","0","0","0","0"
"11","2","5","2","0","0","0","0","0","0","0"
"12","2","4","0","0","0","0","0","0","0","0"
"13","2","3","1","0","0","0","0","0","0","0"
"14","2","3","0","0","0","0","0","0","0","0"
"15","2","5","2","0","0","0","0","0","0","0"
"16","2","2","0","0","0","0","0","0","0","0"
"17","2","5","2","0","0","0","0","0","0","0"
"18","2","6","1","0","0","0","0","0","0","0"
"19","2","3","1","0","0","0","0","0","0","0"
"20","2","7","1","0","0","0","0","0","0","0"
"20","3","5","2","0","0","0","0","0","0","0"
"19","3","5","1","0","0","0","0","0","0","0"
"18","3","6","1","0","0","0","0","0","0","0"
"17","3","1","0","0","0","0","0","0","0","0"
