"pop_source","run","stratum","prop_stay","ret_time","rmse","ll","implausible_pop","implausible_prop_idp"
"pop_polio_2018",904,"South-Central 1",0.882509247020818,98.9901780971158,0.375193414432795,-9.0485280194989,0.000792707094728498,0.014268727705113
"pop_polio_2018",904,"South-Central 2",0.098163612581091,44.6694527551588,0.157210057121294,-1.50303468421722,0,0.00879120879120879
"pop_polio_2018",905,"Puntland-Somaliland",0.461931445035152,51.4218159470239,0.228312910804463,-1.60611096077851,0.000278473962684489,0.00167084377610693
"pop_polio_2018",905,"South-Central 1",0.238475396476919,88.0756281576287,0.285617384294119,-4.76727569464258,0.000396353547364249,0.00198176773682124
"pop_polio_2018",905,"South-Central 2",0.408504991823109,38.3947772709944,0.176077034094687,-1.82123667390947,0,0.0113553113553114
"pop_polio_2018",906,"Puntland-Somaliland",0.627603632261045,81.1049211469872,0.255470356474413,-2.16798477990563,0.000280347631062518,0.0047659097280628
"pop_polio_2018",906,"South-Central 1",0.371763435396831,86.8219583166707,0.29985539276624,-5.30252100032406,0.000792707094728498,0.00237812128418549
"pop_polio_2018",906,"South-Central 2",0.0401411830908619,102.537494171543,0.196236653644653,-2.28100278312819,0,0.0208791208791209
"pop_polio_2018",907,"Puntland-Somaliland",0.258770936077461,64.5174276971915,0.223188651986925,-1.51347055194108,0.000278241513633834,0.00389538119087368
"pop_polio_2018",907,"South-Central 1",0.699348104421748,31.171603460863,0.298089352902142,-5.20195036942283,0.000792707094728498,0.00396353547364249
"pop_polio_2018",907,"South-Central 2",0.986962564007146,64.5766006165929,0.263489461481325,-4.85498669888588,0,0.095970695970696
"pop_polio_2018",908,"Puntland-Somaliland",0.137326069733594,99.1834632749825,0.228666535658278,-1.61818693472309,0.000278784499581823,0.00446055199330917
"pop_polio_2018",908,"South-Central 1",0.532210184356896,104.924779664302,0.329279420771919,-6.53805825502102,0.000792707094728498,0.00475624256837099
"pop_polio_2018",908,"South-Central 2",0.471567070026416,108.577830371141,0.226148162439673,-3.1379538826848,0,0.0326007326007326
"pop_polio_2018",909,"Puntland-Somaliland",0.320587331199087,63.9829440191521,0.225382880516914,-1.5540663159131,0.000278473962684489,0.00417710944026733
"pop_polio_2018",909,"South-Central 1",0.592361577382777,35.0608402330661,0.279835548066416,-4.54668139086381,0.000792707094728498,0.00198176773682124
"pop_polio_2018",909,"South-Central 2",0.750872129340423,94.1159236899479,0.243257679888988,-3.78266139012483,0,0.0586080586080586
"pop_polio_2018",910,"Puntland-Somaliland",0.561324883094989,28.1370598453269,0.22453897726675,-1.53158421441822,0.000277777777777778,0.00388888888888889
"pop_polio_2018",910,"South-Central 1",0.109456664818805,80.2881103950448,0.266622244886317,-4.12715650087289,0.000396353547364249,0.001585414189457
"pop_polio_2018",910,"South-Central 2",0.838287448524497,24.4546248676442,0.22766918351301,-3.15462604822946,0,0.0318681318681319
"pop_polio_2018",911,"Puntland-Somaliland",0.711418880538782,83.7088614178174,0.26368851157846,-2.36473890593722,0.00028137310073157,0.00787844682048396
"pop_polio_2018",911,"South-Central 1",0.219409483355703,35.3587648339791,0.230880636396904,-3.0723466855772,0,0
"pop_polio_2018",911,"South-Central 2",0.694829414514825,69.3401344602974,0.233725308748522,-3.40146093157564,0,0.041025641025641
"pop_polio_2018",912,"Puntland-Somaliland",0.234539205503883,113.243166021532,0.236168465288518,-1.75567652317587,0.000279485746226942,0.00279485746226942
"pop_polio_2018",912,"South-Central 1",0.457809420366306,18.112153099047,0.228696156892898,-2.9944513283005,0,0.000396353547364249
"pop_polio_2018",912,"South-Central 2",0.0806643856284209,54.0330715990965,0.163548070372739,-1.6020748752612,0,0.00915750915750916
"pop_polio_2018",913,"Puntland-Somaliland",0.439101414781064,98.9738842773237,0.245072849134103,-1.93690951534109,0.00027972027972028,0.00531468531468531
"pop_polio_2018",913,"South-Central 1",0.251675269618165,49.1484828686083,0.249903532917998,-3.61017394275292,0,0.000792707094728498
"pop_polio_2018",913,"South-Central 2",0.814460995490663,9.94118361578207,0.205921057907747,-2.47485258847456,0,0.019047619047619
"pop_polio_2018",914,"Puntland-Somaliland",0.249419859115267,64.3456607339927,0.222950011574402,-1.50897142808032,0.000278241513633834,0.00389538119087368
"pop_polio_2018",914,"South-Central 1",0.632790825519012,74.8179525792403,0.327066272779384,-6.42666521888556,0.000792707094728498,0.00554894966309949
"pop_polio_2018",914,"South-Central 2",0.930520536594093,15.6614010214824,0.244820931747966,-3.81777820163875,0,0.0655677655677656
"pop_polio_2018",915,"Puntland-Somaliland",0.402221772975056,96.9160624493121,0.242436380582113,-1.88418154707666,0.000279563880346659,0.00391389432485323
"pop_polio_2018",915,"South-Central 1",0.464211335344473,79.3200566873569,0.305609143437084,-5.52444679708992,0.000792707094728498,0.00277447483154974
"pop_polio_2018",915,"South-Central 2",0.171406770659378,89.2027138199816,0.197147920605438,-2.29969807185091,0,0.0205128205128205
"pop_polio_2018",916,"Puntland-Somaliland",0.479482920982642,91.9300326421808,0.246931120435522,-1.9801067038603,0.00027972027972028,0.00447552447552448
"pop_polio_2018",916,"South-Central 1",0.780986420120113,112.337372671525,0.36516178036059,-8.39808000373825,0.000792707094728498,0.00871977804201348
"pop_polio_2018",916,"South-Central 2",0.52750606164569,44.2667940526102,0.198807940554423,-2.32924722655749,0,0.0201465201465201
"pop_polio_2018",917,"Puntland-Somaliland",0.687131535483291,80.9774240887419,0.260810647260076,-2.29367155238447,0.0002808199943836,0.0036506599269868
"pop_polio_2018",917,"South-Central 1",0.423611366101773,98.8464607578979,0.311852039223871,-5.78309731503729,0.000792707094728498,0.00198176773682124
"pop_polio_2018",917,"South-Central 2",0.144261187433731,11.3229455783376,0.218772381756877,-2.78344846711873,0,0.00366300366300366
"pop_polio_2018",918,"Puntland-Somaliland",0.625299441468902,111.03406121482,0.263774224506758,-2.37547793053131,0.00028137310073157,0.00759707371975239
"pop_polio_2018",918,"South-Central 1",0.518577475269092,84.8562482922708,0.317145728986893,-6.00810861575845,0.000792707094728498,0.00356718192627824
"pop_polio_2018",918,"South-Central 2",0.501483488281025,83.2900183872269,0.222184272274395,-3.00909174221548,0,0.0296703296703297
"pop_polio_2018",919,"Puntland-Somaliland",0.443640477054287,49.7154390963134,0.226430823038967,-1.57107518615114,0.000278318953520735,0.00166991372112441
"pop_polio_2018",919,"South-Central 1",0.695201307395939,26.0761043358936,0.288614904602058,-4.83716842707863,0.000792707094728498,0.00198176773682124
