"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Borama","69",2018,9,707967,331823,1672636,162985,75263,392488,145133,0.022320834693969,0.0739127423287015,0.091891517489737
"Bossaso","69",2018,9,414282,125052,658813,111797,33499,179505,84928,0.13433612439918,0.758066675947122,1.57076878799854
"Bu'aale","69",2018,9,102800,85913,119169,27140,22115,32310,21074,0.163336950719578,3.95446128684083,2.54710914966941
"Bulo Burto","69",2018,9,164647,99609,245334,43456,25701,66426,33753,0.0768812242644648,0.709405507711825,0.421627801753255
"Burco","69",2018,9,471484,340326,534719,116225,82963,133054,96654,0.081078403015275,1.03679172604672,0.932021193730423
"Burtinle","69",2018,9,83131,51492,143487,23095,14068,40560,17042,0.021427145337858,2.28668280957355,0
"Buuhoodle","69",2018,9,80701,62933,102017,20790,15451,27846,16544,0.511370706210043,24.0522191928065,9.11883922538776
"Buur Hakaba","69",2018,9,148836,56891,202668,44259,16673,60612,30511,0.0721184079934217,4.28488337901288,0.0678793406576298
"Cabudwaaq","69",2018,9,87674,39070,123924,18892,8169,27349,17973,0.282798298014553,0.0540353776206834,0
"Cadaado","69",2018,9,101300,50668,147820,25235,12412,37354,20767,0.395355413710813,20.8962395912938,20.7250524837736
"Cadale","69",2018,9,75039,53235,93656,19832,13806,25233,15383,0.123927905195649,0,0
"Caluula","69",2018,9,53667,49385,58744,12932,11615,14597,11002,0.0481007870390948,2.93757752778376,2.09559670771835
"Caynabo","69",2018,9,65972,50076,103972,17031,12513,27839,13524,0.268451593051849,1.33859431250105,2.2094869977427
"Ceel Afweyn","69",2018,9,92249,33718,129428,22377,7967,32164,18911,0.342566437516802,3.57582088083362,2.37467641507098
"Ceel Barde","69",2018,9,55843,39916,70551,13721,9680,17564,11448,0.1617367085338,15.4312279998709,15.1136361403094
"Ceel Buur","69",2018,9,106282,70045,151874,27513,17402,40565,21788,0.373648912773304,0.335956189284438,0
"Ceel Dheer","69",2018,9,109023,88570,121770,28806,22832,32925,22350,0.165260618740144,0,0
"Ceel Waaq","69",2018,9,52521,32505,71210,13865,8421,19252,10767,0.293775046852914,0,0
"Ceerigaabo","69",2018,9,233130,94383,332897,52638,20997,76186,47792,0.144965649021798,1.23996671716793,1.63570077583854
"Dhuusamarreeb","69",2018,9,149715,94923,179433,35910,22592,43328,30692,0.406159708989257,0.0494339919511881,0.282479954006789
"Diinsoor","69",2018,9,93368,48570,145632,29214,15192,45446,19140,0.0711590206152402,16.256382242649,0
"Doolow","69",2018,9,60712,35112,115814,15499,8944,29796,12446,0.347471305584609,6.11451534603102,2.62610594989794
"Eyl","69",2018,9,82188,46759,133691,24242,13615,40160,16849,0.0349764573579482,0.110195369973633,0
"Gaalkacyo","69",2018,9,433859,261100,713185,126871,75940,209825,88941,0.395718237793205,1.92866573514576,2.87718986718465
"Galdogob","69",2018,9,164180,48673,460645,45214,13125,130146,33657,0.0226685953554921,0.581830857883513,0.526941154309597
"Garbahaarey","69",2018,9,117564,75529,183730,31015,19640,49612,24101,0.226576371293157,1.10248739207733,1.42732742724297
"Garoowe","69",2018,9,208796,97086,273214,70600,32644,93013,42803,0.070594145736972,1.66313299073646,1.66878990567094
"Gebiley","69",2018,9,153447,124362,174366,34424,27725,39649,31457,0.0822633300814979,0.265036547623419,0.265036547623419
"Hargeysa","69",2018,9,1108440,902771,1473070,239961,194249,321463,227230,0.0615889327220443,0.0994412025435747,0.327133675657367
"Hobyo","69",2018,9,102294,25085,159727,25993,6226,41299,20970,0.179451599820984,1.40522769496649,0
"Iskushuban","69",2018,9,76161,62025,107763,21874,17546,31357,15613,0.0423104558761578,0.465678685852333,0.931357371704667
"Jalalaqsi","69",2018,9,96331,41634,158744,25462,10807,43108,19748,0.560075428396214,0.262882583300813,0.525765166601627
"Jamaame","69",2018,9,146465,90849,186439,38691,23624,50226,30025,0.115129212515184,8.23712491369349,5.47649428138679
"Jariiban","69",2018,9,99763,59497,133614,28080,16500,38208,20452,0.0997677559483445,3.0284072068003,11.1410016950902
"Jilib","69",2018,9,166830,136807,189677,44091,35163,51820,34200,0.0879826065528946,2.69007336620923,2.36677656709565
"Jowhar","69",2018,9,307507,184885,414913,80787,45041,117478,63039,0.252256217677327,0.627049115782117,0
"Kismaayo","69",2018,9,298222,252691,361409,73594,62031,89572,61135,0.111334108508553,0.667540670577353,1.29761732392843
"Kurtunwaarey","69",2018,9,131888,18286,219457,34829,4821,58704,27037,0.176462004727702,10.7895446047634,0
"Laas Caanood","69",2018,9,181018,130600,293239,49296,34985,81135,37109,0.465560141635551,5.26521526020116,12.0261617741593
"Laasqoray","69",2018,9,211596,54869,403848,51522,12980,101272,43377,0.0704896182325435,3.57646026705247,1.61665154928598
"Lughaye","69",2018,9,75371,50775,108654,17948,11759,26513,15451,0.147046716326881,4.41424409774222,4.31158725825984
"Luuq","69",2018,9,97021,78117,110318,27495,21876,31793,19889,0.559701677810578,2.70461144748866,1.3049487139634
"Marka","69",2018,9,244836,63860,513112,64639,16964,137675,50191,0.808485087369348,187.598666243981,0.984599884986194
"Owdweyne","69",2018,9,84266,48345,127567,17771,10003,27432,17274,0.0743864115471202,3.42907491601694,3.25494220543796
"Qandala","69",2018,9,142288,52184,486507,39063,13815,137688,29169,0.0391007102285769,1.97654542381735,1.4138792082781
"Qansax Dheere","69",2018,9,81127,31087,132882,26788,9945,45163,16631,0.0738624267552799,10.7260978834546,0
"Qardho","69",2018,9,180375,100423,287303,51598,28497,82730,36977,0.268363084577508,1.80405969226835,4.59215194395581
"Qoryooley","69",2018,9,247479,179702,301993,65362,46469,81089,50733,0.143459484912524,35.0884234618482,0.750307944053378
"Rab Dhuure","69",2018,9,45044,23291,72279,11902,6125,19515,9234,0.427356135111571,0.20747291804784,0
"Saakow","69",2018,9,124169,93060,160409,32783,24293,43346,25455,0.264200230742929,2.29998020988577,1.46592145245467
"Sablaale","69",2018,9,43935,3654,70857,11607,966,18978,9007,0.0810543418444756,7.96485763932457,0
"Sheikh","69",2018,9,82679,57695,111135,17608,11603,25044,16949,0,0.25463573228115,0
"Taleex","69",2018,9,70036,23883,139368,17142,5629,35965,14357,0.139710623197427,1.1598817471989,0
"Tayeeglow","69",2018,9,89482,67512,109867,23634,17552,29478,18344,0.424298467315812,11.2495446722319,9.28754978099637
"Waajid","69",2018,9,82676,72568,94186,32965,28389,37917,16948,0.447336955584998,7.82569099973431,10.3611173672495
"Wanla Weyn","69",2018,9,211404,110141,306903,67396,34511,100404,43338,0.135258328508001,1.45424243585443,0
"Xarardheere","69",2018,9,69566,36049,145046,18377,9421,38948,14261,0.359675038186334,5.94931744061206,0
"Xudun","69",2018,9,61640,24275,157830,17662,6795,46652,12636,0.325034406617525,0.172371792978042,1.40359888567834
"Xudur","69",2018,9,117677,103654,125871,39532,34529,42889,24124,0.17711333039435,7.29048463129491,6.58109398135649
"Zeylac","69",2018,9,68485,52536,84629,16243,12099,20681,14039,0.0570792872434731,1.08360066327695,1.00729075741238
"Adan Yabaal","70",2018,10,80816,39347,129896,21334,10167,34983,16567,0.122408200197724,0,0
"Afgooye","70",2018,10,384630,226073,578366,94616,50833,152889,78849,0.292399788844183,5.86280413065086,0.623575604735893
"Afmadow","70",2018,10,176216,74579,284837,46549,19403,76935,36124,0.127807266297091,0.744307565899007,2.46247549839485
"Baardheere","70",2018,10,165766,129741,191892,46551,35958,54790,33982,0.254998150647042,1.67150350623127,1.40725846664324
"Badhaadhe","70",2018,10,76861,55667,114292,20327,14446,30891,15756,0.0107230850137849,0.642775395863827,0
"Baki","70",2018,10,72763,40709,106678,17115,9308,25983,14916,0.0396309935945983,4.70815212591227,4.31317292071829
"Balcad","70",2018,10,196454,146519,223734,50514,36043,60829,40273,0.234962698146056,5.14426642796387,4.0516326033252
"Banadir","70",2018,10,2255813,1875934,2550187,590101,490241,669119,462442,0.381109979677252,5.66264405096364,11.3212641148401
"Bandarbeyla","70",2018,10,27586,12753,48643,7849,3595,14068,5655,0.0584703712318141,7.66908150922117,3.18339232458237
"Baraawe","70",2018,10,89018,76950,116629,23496,19890,31518,18249,0.19760296486115,1.93475260438687,0
"Baydhaba","70",2018,10,557117,435303,682320,172146,135258,210809,114209,0.574267584061402,5.46481218748421,7.8492577196908
"Belet Weyne","70",2018,10,278623,256152,305879,77037,70628,85003,57118,0.579078415657184,0.274179768929074,0
"Belet Xaawo","70",2018,10,92983,83970,98710,22050,19608,23841,19061,0.267219653117034,0.518029816461474,0.356145498817263
"Berbera","70",2018,10,162078,112328,192576,36481,24873,44054,33226,0.0712146079637827,0.109580993035509,0
"Borama","70",2018,10,709136,332287,1675609,163254,75366,393194,145373,0.0229133396317467,0.787894401277874,0.795873078759169
"Bossaso","70",2018,10,415113,125383,660033,112021,33593,179845,85098,0.135305583935453,0.882304477466408,1.44098376049533
"Bu'aale","70",2018,10,102929,85770,119425,27174,22078,32379,21101,0.163902979201036,0.544611476667595,1.08922295333519
"Bulo Burto","70",2018,10,162880,103316,242109,42989,26653,65553,33390,0.101571842965045,48.7519759045771,24.1346415369194
"Burco","70",2018,10,472462,341323,535752,116466,83198,133307,96855,0.0827852472713452,1.64432131540965,2.01238794097817
"Burtinle","70",2018,10,83234,51560,143561,23123,14092,40585,17063,0.0212152279691712,0.287112585358089,0
"Buuhoodle","70",2018,10,68701,47904,87100,17701,11731,23741,14084,0.615146511257416,236.849999828255,4.73329969712761
"Buur Hakaba","70",2018,10,148948,56831,203161,44293,16638,60720,30534,0.072278275230961,2.42936409143926,0.0679542403199793
"Cabudwaaq","70",2018,10,88058,39878,124363,18975,8336,27431,18052,0.286889615146474,7.36075807750128,7.36075807750128
"Cadaado","70",2018,10,100962,48953,148027,25151,11968,37394,20697,0.397461397238694,0.416519287473149,0
"Cadale","70",2018,10,75180,53330,93835,19870,13834,25277,15412,0.123238074858111,0,0
"Caluula","70",2018,10,53749,49604,58801,12951,11658,14611,11018,0.0530899109464787,6.2391241341707,5.56664368857146
"Caynabo","70",2018,10,66236,50226,104363,17099,12565,27922,13578,0.268924571193553,2.84262042418039,3.37260050326487
"Ceel Afweyn","70",2018,10,92375,33715,129674,22408,7957,32213,18937,0.34160197029776,2.37396624509089,1.78047468381817
"Ceel Barde","70",2018,10,55822,39969,70110,13715,9696,17457,11444,0.165159503474072,5.35907608067629,4.81756665092154
"Ceel Buur","70",2018,10,106468,70154,152155,27562,17431,40637,21826,0.373068795265747,0.0609778626540048,0
"Ceel Dheer","70",2018,10,109209,88733,121973,28855,22876,32979,22388,0.16524430647081,0.0651375854555599,0
"Ceel Waaq","70",2018,10,52602,32550,71324,13887,8433,19283,10783,0.292875699947353,0.128693902823027,0
"Ceerigaabo","70",2018,10,233480,94523,333460,52717,21016,76311,47863,0.144921589426597,1.07497378900088,1.28048348395693
"Dhuusamarreeb","70",2018,10,150029,95803,179719,35985,22778,43379,30756,0.409088464393696,5.25005111184917,5.32042713211524
"Diinsoor","70",2018,10,93552,48481,146502,29271,15177,45595,19178,0.0729578903667286,7.73309508387995,2.17493299234124
"Doolow","70",2018,10,60875,35236,115777,15541,8977,29782,12479,0.348545190247957,0,3.59075162698086
"Eyl","70",2018,10,82292,46767,133889,24272,13621,40217,16870,0.0346606864303825,1.08696020758931,0
"Gaalkacyo","70",2018,10,434166,260781,714174,126960,75854,210181,89004,0.396371548907776,3.45099754090347,2.75289498491918
"Galdogob","70",2018,10,164513,48759,461456,45306,13146,130364,33725,0.0246660335774478,2.31124171161713,2.23456544630282
"Garbahaarey","70",2018,10,117556,75285,184205,31013,19580,49768,24099,0.22878999264303,6.46751638497482,2.66193509747439
"Garoowe","70",2018,10,209086,97189,273675,70699,32695,93163,42863,0.0712180961671629,0.875593957227277,0.994222815948392
"Gebiley","70",2018,10,153595,124424,174472,34457,27742,39704,31487,0.0817281368547873,0.23169096175886,0.165493544113472
"Hargeysa","70",2018,10,1110375,904266,1475459,240380,194614,322031,227627,0.0617192837062803,0.0612299534890964,0.297800228333332
"Hobyo","70",2018,10,102413,25109,159957,26023,6225,41359,20995,0.178789652336851,1.34376167145241,0.0610800759751096
"Iskushuban","70",2018,10,76306,62135,107937,21915,17588,31412,15643,0.0422027979429796,0.300736109392849,0.355415402009731
"Jalalaqsi","70",2018,10,100160,46065,162494,26474,11955,44117,20533,0.574639697889435,11.4814794723651,53.9419884125939
"Jamaame","70",2018,10,146146,90198,186244,38606,23470,50113,29960,0.120459073572226,11.5949213049951,5.32213624780601
"Jariiban","70",2018,10,101027,60309,134520,28436,16719,38466,20710,0.128510704578411,23.2560680190365,31.1172741099784
"Jilib","70",2018,10,166955,136672,189923,44124,35124,51888,34226,0.0878053453959256,0.737734423993529,0.243879148427613
"Jowhar","70",2018,10,307943,185032,415654,80901,45105,117651,63128,0.25104033327773,0.713074005357161,0
"Kismaayo","70",2018,10,299899,254081,363297,74008,62414,90036,61479,0.114056436000182,0.728058239670615,4.05342192039872
"Kurtunwaarey","70",2018,10,132737,18899,221391,35053,4983,58974,27211,0.171157128450449,7.14001147850334,0
"Laas Caanood","70",2018,10,196148,145208,308796,53416,38878,85434,40210,0.504748614994471,0.808640933847127,84.0106417803627
"Laasqoray","70",2018,10,211718,54778,404313,51551,12945,101376,43402,0.0715463192896299,3.70975675019325,1.7403797099672
"Lughaye","70",2018,10,75546,50956,108908,17989,11793,26567,15487,0.151213081129018,4.82733553859099,5.19304277636304
"Luuq","70",2018,10,97149,78232,110518,27532,21913,31816,19916,0.556856885301305,0.924781004779753,1.15597625597469
"Marka","70",2018,10,245431,87329,485576,64800,23184,130428,50313,0.7103503174466,35.3304905528624,1.31951191177014
"Owdweyne","70",2018,10,84386,48280,127723,17796,9984,27464,17299,0.0783968270270783,7.30235483212298,4.81473944975141
"Qandala","70",2018,10,142519,52336,487304,39126,13850,137906,29216,0.0409600467748794,2.92373432538452,2.36203167173922
"Qansax Dheere","70",2018,10,80950,31199,133115,26729,9985,45111,16595,0.0741829056569874,12.9583031197621,0
"Qardho","70",2018,10,181250,100890,288255,51848,28638,82981,37156,0.27571318989894,6.62410517293969,9.99815677334345
"Qoryooley","70",2018,10,244164,176834,294262,64486,45832,79311,50054,0.144682739734217,14.2160813524476,0
"Rab Dhuure","70",2018,10,45337,23386,72747,11979,6148,19672,9294,0.428564615391126,8.09113702084183,7.91076135477211
"Saakow","70",2018,10,124364,93030,160683,32834,24296,43460,25495,0.266165162538952,3.55878821517299,3.92896949523827
"Sablaale","70",2018,10,44026,3537,71107,11631,937,19025,9025,0.0815675655015568,11.9759984525834,0
"Sheikh","70",2018,10,82825,57770,111419,17639,11618,25108,16979,0.00152506779048809,1.79231797162286,1.52537699712584
"Taleex","70",2018,10,70123,23783,139605,17163,5614,36012,14375,0.138691019260998,3.49827216238696,0
"Tayeeglow","70",2018,10,89880,67675,110238,23739,17605,29565,18425,0.437699006489558,18.4875099368024,18.4875099368024
"Waajid","70",2018,10,82969,73110,94562,33082,28553,38059,17009,0.452140398782342,10.2988753177892,9.71592011112184
"Wanla Weyn","70",2018,10,211778,110224,307463,67515,34565,100606,43414,0.136839352760418,2.29412000351977,1.60145092033143
"Xarardheere","70",2018,10,69770,36105,145559,18431,9449,39071,14303,0.358954325852558,1.63834625585541,0
"Xudun","70",2018,10,61784,24300,158186,17704,6799,46727,12666,0.321868823083854,0.908624818900893,0
"Xudur","70",2018,10,118001,103837,126465,39640,34582,43050,24190,0.18279432105036,7.70531114043567,7.4069860409719
"Zeylac","70",2018,10,68593,52608,84760,16269,12117,20714,14062,0.0578886130010815,1.63039333467845,1.55420673025422
"Adan Yabaal","71",2018,11,80931,39377,130113,21364,10175,35044,16591,0.121571340061751,0.625653686490587,0
"Afgooye","71",2018,11,384252,225178,579134,94523,50639,152863,78772,0.291743555932636,4.21647795691421,0.10160187847986
"Afmadow","71",2018,11,176657,74775,285483,46665,19450,77117,36215,0.129847240666981,1.43590826531947,2.79551222668476
"Baardheere","71",2018,11,165992,129911,192208,46615,36004,54869,34028,0.254080049500752,1.12305161884251,0.797796231964623
"Badhaadhe","71",2018,11,76956,55729,114435,20352,14463,30930,15776,0.0107288056471728,0.432646926290076,0
"Baki","71",2018,11,72825,41020,106715,17130,9377,25990,14929,0.0476623300574926,10.7185990448445,8.59064188152981
"Balcad","71",2018,11,196585,146614,224343,50547,36142,60926,40300,0.23437567490029,1.72379328674324,0.762647938983373
"Banadir","71",2018,11,2255385,1871780,2556207,589989,489768,670872,462354,0.380857772636271,0.119843205362739,1.62056632923345
"Bandarbeyla","71",2018,11,27613,12746,48753,7856,3597,14092,5661,0.0597653655680677,3.75707758054625,1.92670645156218
"Baraawe","71",2018,11,89092,77020,116658,23515,19908,31530,18264,0.197632263524474,0.793901205016894,0
"Baydhaba","71",2018,11,557804,435741,684304,172359,134897,211392,114350,0.574377957288261,3.62575840918733,5.70023370485758
"Belet Weyne","71",2018,11,278048,255117,305088,76877,70352,84782,57000,0.576401361108838,5.30084459748852,0.408591704990588
"Belet Xaawo","71",2018,11,93096,84049,98857,22077,19633,23872,19085,0.266354105606302,0.226361145396186,0.140128328102401
"Berbera","71",2018,11,162325,112495,192871,36536,24912,44122,33277,0.0705515706903188,0.128723635265213,0
"Borama","71",2018,11,710158,332701,1677913,163490,75477,393744,145582,0.0228654936210207,0.155356100251075,0.16332307975113
"Bossaso","71",2018,11,415875,125582,661385,112226,33650,180222,85254,0.136859521829147,1.83970394722585,1.9723258583937
"Bu'aale","71",2018,11,103062,85910,119577,27210,22113,32421,21128,0.163832850951483,0.959232501821186,0.484560748342661
"Bulo Burto","71",2018,11,162793,97587,243847,42967,25149,65994,33373,0.110170398040551,0.36666958312437,8.18216384564566
"Burco","71",2018,11,473216,341530,536725,116652,83241,133544,97009,0.0834096154942797,0.667667638865915,0.902547459704738
"Burtinle","71",2018,11,83357,51614,143780,23158,14114,40651,17088,0.0210129071606835,0.49150609284206,0
"Buuhoodle","71",2018,11,65543,48220,87212,16884,11796,23780,13436,0.637663925296579,3.96086753134637,2.22899023019087
"Buur Hakaba","71",2018,11,149145,56970,203696,44351,16642,60887,30575,0.0722861142714917,1.89286903664907,0
"Cabudwaaq","71",2018,11,88190,39586,124786,19003,8277,27508,18079,0.28617089369237,0.0804827246418778,0
"Cadaado","71",2018,11,100972,49056,148245,25153,11978,37426,20699,0.395855186128594,1.61983454531383,0.254545428549316
"Cadale","71",2018,11,75316,53419,94006,19906,13859,25320,15440,0.122575373469308,0.0843988651787054,0
"Caluula","71",2018,11,53733,49370,58861,12948,11608,14626,11015,0.0529756751642799,1.04660471610403,0.429855508399868
"Caynabo","71",2018,11,66430,50354,104728,17149,12611,27989,13618,0.267587838400199,1.0567349505424,1.23285744229947
"Ceel Afweyn","71",2018,11,92532,33775,129913,22446,7960,32267,18969,0.340056918969388,1.75060961791488,1.46113873621242
"Ceel Barde","71",2018,11,55300,39237,70159,13587,9518,17474,11337,0.169738420153714,19.3298597902472,3.94911113994297
"Ceel Buur","71",2018,11,105501,70299,150937,27311,17466,40311,21628,0.376387960126955,15.3451860025912,0
"Ceel Dheer","71",2018,11,109386,88890,122171,28902,22919,33033,22424,0.165245874734708,0.14864360269354,0
"Ceel Waaq","71",2018,11,52375,32202,71433,13827,8342,19313,10737,0.294262844072805,8.64190269391579,0
"Ceerigaabo","71",2018,11,233789,94548,333999,52787,21020,76431,47927,0.144207984027387,0.410718185089058,0.500233686967443
"Dhuusamarreeb","71",2018,11,151758,97886,181476,36400,23246,43787,31110,0.421419873192154,8.41520851516447,18.7189786772965
"Diinsoor","71",2018,11,93834,48395,147313,29360,15164,45863,19236,0.0724415037598645,5.47091619821548,0
"Doolow","71",2018,11,60800,34974,116028,15522,8911,29862,12464,0.351564644555492,7.05100111158844,3.11419215761823
"Eyl","71",2018,11,82436,46847,134159,24315,13649,40291,16899,0.0343318718676286,0.0961404576833143,0
"Gaalkacyo","71",2018,11,434481,260734,714293,127052,75852,210235,89069,0.395983393521202,1.90582129116688,1.86896839327139
"Galdogob","71",2018,11,164773,48837,462260,45378,13165,130581,33779,0.025094929384408,0.852842042743249,0.688833957600317
"Garbahaarey","71",2018,11,117725,75417,184158,31058,19619,49782,24134,0.230383026085382,2.84347123656824,2.74508122838249
"Garoowe","71",2018,11,209340,97233,274075,70784,32720,93285,42915,0.0713117888106023,0.671520115299742,0.440156041961175
"Gebiley","71",2018,11,153751,124472,174573,34492,27762,39746,31519,0.0811166950940028,0.0727445233400304,0.0727445233400304
"Hargeysa","71",2018,11,1112129,905605,1477773,240759,194933,322573,227987,0.0617427522018551,0.138941172540868,0.178770975335917
"Hobyo","71",2018,11,102674,25229,160339,26089,6244,41458,21048,0.179181048366818,0.441479512671423,1.46144942125712
"Iskushuban","71",2018,11,76497,62293,108154,21970,17636,31479,15682,0.0425044791153619,0.0818067809070633,0.777164418617101
"Jalalaqsi","71",2018,11,100134,45227,162776,26467,11729,44192,20527,0.572537212981968,0.434192455736493,1.06687289123824
"Jamaame","71",2018,11,145899,89861,186370,38541,23399,50118,29909,0.123015865534764,6.63804626945558,2.70022221130397
"Jariiban","71",2018,11,101136,60850,135149,28467,16851,38643,20733,0.13194813150479,0.685060796560337,5.56747821966496
"Jilib","71",2018,11,166889,136869,189801,44106,35169,51850,34212,0.0877780784322964,3.17101539658733,0.298807220063037
"Jowhar","71",2018,11,308456,185286,416500,81036,45178,117870,63234,0.249841317905334,0.350503550669025,0.0289075093335278
"Kismaayo","71",2018,11,301043,254997,364724,74290,62643,90384,61714,0.115059653354055,0.175410376319565,2.16564349225309
"Kurtunwaarey","71",2018,11,133985,19811,223438,35383,5223,59551,27467,0.165392443007529,0.266406053355251,0.626054225384839
"Laas Caanood","71",2018,11,196149,145422,309206,53417,38885,85497,40210,0.500935695394668,0.984839391051763,1.49101382667613
"Laasqoray","71",2018,11,211865,54580,404848,51587,12883,101496,43432,0.0719392354310767,2.49325123670036,0.994241290708732
"Lughaye","71",2018,11,75839,51044,109324,18059,11808,26665,15547,0.154302181508502,1.39901287936593,4.35734219719179
"Luuq","71",2018,11,97389,78429,110797,27600,21971,31893,19965,0.554166129653866,0.670878075790703,1.74009000908214
"Marka","71",2018,11,247510,93170,480856,65350,24729,129571,50740,0.689047506691609,8.06396754483702,2.20220800421252
"Owdweyne","71",2018,11,84631,48289,127977,17848,9998,27510,17349,0.0899195887166379,13.9936022959951,12.5276058649861
"Qandala","71",2018,11,142815,52823,488091,39207,13965,138121,29277,0.0484802391225177,8.82705352907146,8.10940690069167
"Qansax Dheere","71",2018,11,80795,31171,133421,26679,9900,45146,16563,0.0745818101144798,11.8716998983221,0
"Qardho","71",2018,11,181807,101355,289210,52007,28781,83260,37270,0.278682659947375,2.06635202591214,5.45179040798833
"Qoryooley","71",2018,11,243969,176578,291536,64434,45761,78772,50014,0.14409719719993,3.15961973576089,0
"Rab Dhuure","71",2018,11,46758,24110,76057,12355,6340,20597,9585,0.499079662822572,70.4966253967266,86.4491477333926
"Saakow","71",2018,11,124323,92884,160424,32823,24266,43431,25486,0.265331554637598,1.38007834961955,0.681624062921849
"Sablaale","71",2018,11,44245,3612,71546,11689,957,19124,9070,0.0804938016734245,0,0.327116814404856
"Sheikh","71",2018,11,82935,57867,111461,17662,11638,25118,17002,0.0014894249586096,0,0
"Taleex","71",2018,11,70138,23630,139818,17166,5591,36043,14378,0.137953028975888,4.64491013130766,0
"Tayeeglow","71",2018,11,90334,68233,110932,23859,17764,29743,18518,0.445016104224603,8.31100471236164,12.8515951153808
"Waajid","71",2018,11,84201,74470,95973,33574,29036,38581,17261,0.464071954831903,10.6966784362273,21.8240956014301
"Wanla Weyn","71",2018,11,212040,110304,307583,67599,34606,100677,43468,0.136833713792913,0.769196494148196,0
"Xarardheere","71",2018,11,70040,36194,146070,18502,9484,39203,14358,0.357737466663296,1.12433404987577,0.0936945041563143
"Xudun","71",2018,11,61942,24356,158570,17749,6823,46844,12698,0.318583446275061,0.195792214518358,0
"Xudur","71",2018,11,118477,104391,127365,39800,34758,43060,24288,0.183695322569533,0.135798140005862,2.97058431262822
"Zeylac","71",2018,11,68614,52606,84819,16274,12118,20728,14066,0.0572411623830752,1.18832763689092,0
"Adan Yabaal","72",2018,12,81057,39432,130290,21397,10191,35094,16617,0.120707187031619,0.243768195455807,0
"Afgooye","72",2018,12,385000,225489,581098,94707,50770,153157,78925,0.291098049868342,1.66651619119502,1.14181699682951
"Afmadow","72",2018,12,177026,74945,285895,46763,19506,77236,36290,0.130971213288862,0.678116394815565,1.86136030821823
"Baardheere","72",2018,12,166200,130069,192506,46673,36046,54944,34071,0.252460446821054,0.410663135449632,0
"Badhaadhe","72",2018,12,77076,55816,114598,20384,14487,30975,15801,0.0107974285174613,0.153276308708516,0.0696710494129619
"Baki","72",2018,12,72888,40856,106888,17145,9340,26032,14942,0.0542105703452969,7.11165374076691,7.11165374076691
"Balcad","72",2018,12,196987,146879,225104,50651,36269,61028,40382,0.233651151646807,0.948690921351504,0.839226584272485
"Banadir","72",2018,12,2256066,1865932,2560291,590167,489277,671680,462493,0.379864013329553,0.164525850823367,0.865549041288149
"Bandarbeyla","72",2018,12,27636,12721,48842,7863,3592,14112,5665,0.0597730596702856,3.32231517646705,0.577793943733401
"Baraawe","72",2018,12,89213,77117,116788,23547,19933,31565,18289,0.197573580052706,0.448111731803172,0
"Baydhaba","72",2018,12,558348,435383,686112,172527,134947,211968,114461,0.57299549677244,2.09648426269616,3.92062662901767
"Belet Weyne","72",2018,12,278043,255030,305355,76876,70363,84815,56999,0.575324525371803,4.74408813556942,3.07714863061706
"Belet Xaawo","72",2018,12,93190,84110,98973,22099,19653,23896,19104,0.265440484847784,0.41996644639947,0
"Berbera","72",2018,12,163264,113349,193851,36747,25102,44347,33469,0.0741356996116758,0.294245480847318,4.54801167135746
"Borama","72",2018,12,711316,333183,1680653,163756,75595,394402,145820,0.0230414923758187,0.284365504723645,0.383794002878766
"Bossaso","72",2018,12,416804,126078,662425,112477,33794,180515,85445,0.138186458394837,0.688115696767544,1.89147073298665
"Bu'aale","72",2018,12,103160,85990,119703,27235,22132,32454,21148,0.163656858477532,1.03738181445983,0.29639480413138
"Bulo Burto","72",2018,12,163119,97939,244295,43052,25233,66111,33439,0.110363635971617,1.17878173587902,0.89424821342546
"Burco","72",2018,12,473951,341996,537600,116833,83347,133758,97160,0.0836140062384173,0.466878537420748,0.486422290149988
"Burtinle","72",2018,12,83448,51631,143985,23183,14123,40713,17107,0.0208288424013855,0.995814387779726,0
"Buuhoodle","72",2018,12,65872,48629,87513,16968,11947,23856,13504,0.632055915399221,0.414689785090872,2.18509617528652
"Buur Hakaba","72",2018,12,149375,57160,204076,44420,16651,61053,30622,0.0722683716068493,1.65309860325214,0
"Cabudwaaq","72",2018,12,88498,40115,125188,19070,8369,27571,18142,0.287304119578039,3.89236340712819,3.73240326710922
"Cadaado","72",2018,12,100117,51732,146496,24940,12607,36979,20524,0.423924030148774,53.6204158235786,30.9564710818906
"Cadale","72",2018,12,75787,53509,94179,20030,13886,25363,15536,0.142028628284463,20.9671193989255,20.9113557835028
"Caluula","72",2018,12,54182,49795,59330,13056,11706,14743,11107,0.0594552489538767,0.481875252765466,7.45053275429682
"Caynabo","72",2018,12,66743,50566,105127,17230,12682,28072,13682,0.268087760221911,2.0073421589077,3.52081442157621
"Ceel Afweyn","72",2018,12,92686,33780,130176,22483,7962,32327,19001,0.33746705795781,0.192869581403907,0.0964347907019535
"Ceel Barde","72",2018,12,55205,39303,69265,13564,9535,17259,11317,0.168556523223999,0.321245557579301,0
"Ceel Buur","72",2018,12,105392,68993,151265,27283,17139,40389,21605,0.377592341094815,0,0
