"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Ceerigaabo","3",2013,3,203209,77597,291916,42021,15858,61475,41658,0.00394222103139754,0,0
"Dhuusamarreeb","3",2013,3,124883,74083,151807,27481,16193,33609,25601,0.245136855422893,0,0
"Diinsoor","3",2013,3,137289,105251,171539,39699,29693,50535,28144,0.0190322546204706,0,0
"Doolow","3",2013,3,49246,27418,99514,11552,6346,23485,10095,0.188571554284003,0,0
"Eyl","3",2013,3,76611,45188,122880,20840,12006,34133,15705,0,0,0
"Gaalkacyo","3",2013,3,365814,214331,620826,98698,57095,168416,74992,0.119018406389303,0,0
"Galdogob","3",2013,3,151034,47961,417402,38438,11597,110427,30962,0.000247547453931614,0,0
"Garbahaarey","3",2013,3,111860,75459,172280,27183,17774,42624,22931,0.116951009740125,0,0
"Garoowe","3",2013,3,184335,84401,241917,57779,26133,76821,37789,0.0384843694872156,0,0
"Gebiley","3",2013,3,128177,104840,149225,26316,21041,30868,26276,0,0,0
"Hargeysa","3",2013,3,980685,798155,1310810,194121,155898,262283,201041,0.0458767886042755,0,0
"Hobyo","3",2013,3,96983,26005,149000,22588,6069,35415,19881,0.101363271225204,0,0
"Iskushuban","3",2013,3,69701,57282,98311,18447,14886,26407,14289,0,0,0
"Jalalaqsi","3",2013,3,88778,39940,144334,21583,9470,36162,18199,0.0620214202050167,0,0
"Jamaame","3",2013,3,144259,96011,179252,35102,22696,44862,29573,0.0714913604115266,0,0
"Jariiban","3",2013,3,88396,52581,118846,22936,13344,31370,18121,0.00109217285708031,0,0
"Jilib","3",2013,3,150881,123596,171429,36639,29197,42932,30931,0.0457569130967447,0,0
"Jowhar","3",2013,3,284795,175623,380070,68751,38817,99271,58383,0.147237176681767,0,0
"Kismaayo","3",2013,3,164389,124119,219667,37217,27900,50468,33700,0.0614480172365645,0,0
"Kurtunwaarey","3",2013,3,200071,96399,281099,48554,22666,68571,41015,0.00567751931929321,0,0
"Laas Caanood","3",2013,3,150391,103371,250089,37677,25601,63486,30830,0.0218577689729947,0,0
"Laasqoray","3",2013,3,191735,50545,364445,42759,10918,83654,39306,0.000416641632590787,0,0
"Lughaye","3",2013,3,69029,46630,98863,15061,9975,22241,14151,0.0779520461999831,0,0
"Luuq","3",2013,3,84587,68309,96958,22078,17504,25798,17340,0.235137605408495,0,0
"Marka","3",2013,3,337926,194455,581249,82073,45813,142296,69275,0.187087807316285,0,0
"Owdweyne","3",2013,3,86235,56013,125737,16617,10378,24859,17678,0,0,0
"Qandala","3",2013,3,129640,48295,438718,32676,11899,113568,26576,0,0,0
"Qansax Dheere","3",2013,3,112233,58915,157808,34339,17739,49691,23008,0.0387993687299603,0,0
"Qardho","3",2013,3,154527,83928,250472,40754,21727,66769,31678,0.124383071927007,0,0
"Qoryooley","3",2013,3,258055,199539,302514,62704,47450,75085,52901,0.0372417847250319,0,0
"Rab Dhuure","3",2013,3,54163,36921,80792,13162,8703,19774,11103,0,0,0
"Saakow","3",2013,3,102966,77581,137266,25010,18267,33978,21108,0.0884743033655944,0,0
"Sablaale","3",2013,3,55985,22992,80411,13593,5427,19804,11477,0.031977003586813,0,0
"Sheikh","3",2013,3,74729,52374,100336,14544,9631,20564,15319,0,0,0
"Taleex","3",2013,3,74592,35053,137179,16717,7377,32248,15291,0,0,0
"Tayeeglow","3",2013,3,89918,72246,106782,21848,17000,26707,18433,0.0977212808602605,0,0
"Waajid","3",2013,3,87862,75813,96117,32680,27960,36156,18012,0.102419526946654,0,0
"Wanla Weyn","3",2013,3,199880,110842,287306,59069,31643,86771,40975,0.126417304439116,0,0
"Xarardheere","3",2013,3,79216,49565,147163,19233,11888,36562,16239,0.245754718427984,0,0
"Xudun","3",2013,3,62256,29805,148764,16367,7542,40395,12763,0,0,0
"Xudur","3",2013,3,116870,106790,125369,36405,32676,39414,23958,0.0440718733346129,0,0
"Zeylac","3",2013,3,60988,46722,75458,13277,9898,16948,12503,0.000899142991212948,0,0
"Adan Yabaal","4",2013,4,74025,37108,118419,17996,8763,29462,15175,0,0,0
"Afgooye","4",2013,4,372741,234408,546632,83749,48014,132939,76412,0.103956125645744,0,0
"Afmadow","4",2013,4,152701,61391,250906,37100,14624,62420,31304,0.0753646345082081,0,0
"Baardheere","4",2013,4,151101,118716,174228,39085,30312,45891,30976,0.101470963887137,0,0
"Badhaadhe","4",2013,4,69308,50276,102913,16850,11991,25685,14208,0.010674072002336,0,0
"Baki","4",2013,4,64708,35665,95161,13976,7448,21232,13265,0,0,0
"Balcad","4",2013,4,185074,140242,208610,43594,31480,52884,37940,0.104678929554916,0,0
"Banadir","4",2013,4,1630383,1369978,1910442,391911,325748,458791,334229,0.223780295777589,0,0
"Bandarbeyla","4",2013,4,28016,15205,46943,7348,3891,12542,5743,0,0,0
"Baraawe","4",2013,4,81565,70533,106543,19818,16669,26424,16721,0.184141231788474,0,0
"Baydhaba","4",2013,4,375861,310062,470221,107376,87231,135878,77051,0.0654772361748829,0,0
"Belet Weyne","4",2013,4,248328,231029,273816,63214,57976,70187,50907,0.13778805633663,0,0
"Belet Xaawo","4",2013,4,81228,73575,86249,17652,15605,19217,16652,0.151109178680809,0,0
"Berbera","4",2013,4,145500,100927,172876,29978,20426,36354,29827,0.00334931583648911,0,0
"Borama","4",2013,4,629650,292588,1498780,132812,60268,322931,129078,0.000149393910523962,0,0
"Bossaso","4",2013,4,367936,107652,588174,91347,26435,147648,75427,0.104350386615106,0,0
"Bu'aale","4",2013,4,92352,76799,107046,22434,18155,26808,18932,0.110100226854134,0,0
"Bulo Burto","4",2013,4,151502,92559,223710,36785,21992,55774,31058,0.0695628145244549,0,0
"Burco","4",2013,4,421915,303394,478819,95423,67636,109440,86493,0.0559556373276957,0,0
"Burtinle","4",2013,4,76160,47867,130448,19485,11966,34096,15613,0,0,0
"Buuhoodle","4",2013,4,63987,49624,82256,15141,11098,20816,13117,0,0,0
"Buur Hakaba","4",2013,4,150045,63503,193689,41158,17350,54497,30759,0.0596828654672408,0,0
"Cabudwaaq","4",2013,4,90447,44678,120878,17824,8673,24607,18542,0.119335961379417,0,0
"Cadaado","4",2013,4,86817,38540,127282,19867,8802,29864,17798,0.208346990259465,0,0
"Cadale","4",2013,4,69145,49527,85349,16800,11764,21302,14175,0.0387772987450735,0,0
"Caluula","4",2013,4,47491,43473,52029,10494,9311,11880,9736,0,0,0
"Caynabo","4",2013,4,70126,58028,105059,16672,12976,25875,14376,0.023693369168747,0,0
"Ceel Afweyn","4",2013,4,85525,32508,118152,19013,7051,26932,17533,0,0,0
"Ceel Barde","4",2013,4,53209,39658,66477,12001,8784,15203,10908,0.0507289924973392,0,0
"Ceel Buur","4",2013,4,97880,65013,138971,23291,14899,34224,20065,0.326392639579806,0,0
"Ceel Dheer","4",2013,4,99384,80780,110624,24185,19188,27700,20374,0.163008135181888,0,0
"Ceel Waaq","4",2013,4,47079,29199,63988,11430,6900,15915,9651,0.216657141893851,0,0
"Ceerigaabo","4",2013,4,203541,77724,292393,42090,15884,61575,41726,0.00394185937246188,0,0
"Dhuusamarreeb","4",2013,4,125087,74204,152055,27526,16220,33664,25643,0.245138772785504,0,0
"Diinsoor","4",2013,4,137513,105423,171819,39764,29741,50617,28190,0.0190309121531874,0,0
"Doolow","4",2013,4,49326,27463,99677,11570,6357,23524,10112,0.188572602572987,0,0
"Eyl","4",2013,4,76736,45261,123081,20874,12026,34189,15731,0,0,0
"Gaalkacyo","4",2013,4,366412,214681,621840,98860,57189,168691,75114,0.119018702512676,0,0
"Galdogob","4",2013,4,151281,48040,418084,38501,11616,110607,31013,0.000247385011726018,0,0
"Garbahaarey","4",2013,4,112042,75582,172562,27227,17803,42694,22969,0.11694907444543,0,0
"Garoowe","4",2013,4,184636,84539,242312,57874,26176,76947,37850,0.0384844782353722,0,0
"Gebiley","4",2013,4,128386,105011,149469,26359,21075,30918,26319,0,0,0
"Hargeysa","4",2013,4,982287,799459,1312951,194438,156153,262711,201369,0.0458767051837097,0,0
"Hobyo","4",2013,4,97141,26047,149243,22625,6079,35473,19914,0.101364052886923,0,0
"Iskushuban","4",2013,4,69815,57375,98472,18477,14910,26450,14312,0,0,0
"Jalalaqsi","4",2013,4,88923,40005,144570,21619,9485,36221,18229,0.0620220130206034,0,0
"Jamaame","4",2013,4,144494,96168,179544,35160,22734,44935,29621,0.071490744513809,0,0
"Jariiban","4",2013,4,88540,52667,119041,22974,13365,31421,18151,0.00109081193332002,0,0
"Jilib","4",2013,4,151128,123798,171709,36699,29244,43003,30981,0.045757329577797,0,0
"Jowhar","4",2013,4,285261,175910,380691,68864,38880,99434,58478,0.14723640000011,0,0
"Kismaayo","4",2013,4,164658,124322,220026,37277,27946,50551,33755,0.0614480249383081,0,0
"Kurtunwaarey","4",2013,4,200399,96557,281558,48633,22703,68683,41082,0.00567728650239352,0,0
"Laas Caanood","4",2013,4,150637,103540,250497,37738,25643,63590,30881,0.0218589022633456,0,0
