"SurveyID","Old_Name","Agency","District","Region","LHZ","Start_Date","End_Date","Recall_Days","Quality_Score","UnkCode","InjCode","ViolCode","lshtm_survey_design","lshtm_cdr_est","lshtm_cdr_log_se","lshtm_cdr_lci","lshtm_cdr_uci","lshtm_cdr_u5_est","lshtm_cdr_u5_log_se","lshtm_cdr_u5_lci","lshtm_cdr_u5_uci","lshtm_cdr_f_est","lshtm_cdr_f_log.se","lshtm_cdr_f_lci","lshtm_cdr_f_uci","lshtm_cdr_m_est","lshtm_cdr_m_log.se","lshtm_cdr_m_lci","lshtm_cdr_m_uci","lshtm_cdr_inj_est","lshtm_cdr_inj_log_se","lshtm_cdr_viol_est","lshtm_cdr_viol_log_se","lshtm_cbr_est","lshtm_in_migration_rate_est","lshtm_out_migration_rate_est","lshtm_net_migration_rate_est","lshtm_mean_n","lshtm_prop_f","lshtm_prop_u5","lshtm_prop_unk","lshtm_prop_inj","lshtm_prop_oth","lshtm_prop_viol","lshtm_prop_died_u1","lshtm_prop_inj_m","lshtm_prop_viol_u18","lshtm_prop_viol_f_o18","cdr_rr_males"
"SOM_2020_08_lhz_nip_NA","som_202008_lhz_nip_nw.as","FSNAU",NA,NA,"other","2020-08-20","2020-08-30",109,0.92,1,2,0,"multi-stage cluster",0.302228431532707,0.377974356644679,0.144077793772316,0.633977120520508,1.4530969431663e-10,0.0523048494375414,1.31151059231514e-10,1.60996848871189e-10,0.275608319240153,0.454899385364858,0.112998882500912,0.672218556088545,0.327537019871845,0.401642287031917,0.149064962949988,0.719689572005748,0.0335809368136101,0.999009327400117,2.864233680922e-11,0.0501298267540164,49.0281676897715,1.04544529353653e-09,60.0595054199684,-60.0595054189229,4.6919014084507,0.487371888726208,0.218213361679937,0.777777777777778,0.111111111111111,0.111111111111111,0,NA,1,NA,NA,1.18841485182617
"SOM_2020_08_lhz_nip_ne","som_202008_lhz_nip_ne.as","FSNAU",NA,NA,"other","2020-08-19","2020-08-28",109,0.95,1,2,0,"multi-stage cluster",0.073630113802045,0.696930072516266,0.0187852343596478,0.288598670355037,0.279002584643717,0.689436633936324,0.0722350397464451,1.07762718081297,0.0721534559943493,1.01022295940374,0.00996180404061948,0.522608273632008,0.0751684713639696,0.996338613279571,0.0106643691339108,0.52982966139356,2.77733746290661e-11,0.0351723822579837,2.77733746290661e-11,0.0351723822579837,51.0624825128664,1.01372817396091e-09,85.999970547952,-85.9999705469383,4.81437125748503,0.510232744783307,0.263904769234152,0.5,0,0.5,0,0,NA,NA,NA,1.04178615324894
"SOM_2020_08_lhz_nw_NA","som_202008_lhz_nw_agropast.as","FSNAU",NA,NA,"other","2020-08-16","2020-08-24",109,0.89,1,2,0,"multi-stage cluster",0.201002143149896,0.391408641852294,0.0933312163620788,0.432886906714172,0.119373507557733,0.990076449141369,0.0171450149222704,0.831147384312051,0.117019284778142,0.68344358733605,0.0306548018462776,0.446700424900995,0.281939518334602,0.500730315257528,0.105663673260165,0.752291582775353,2.37766071271418e-11,0.0271698495088002,0.0861437739958232,0.733824292965679,49.2598814087496,8.67846160140676e-10,60.7887898235492,-60.7887898226813,5.65398550724638,0.490766823161189,0.240544086436427,0.5,0,0.5,0.75,1,NA,0,0,2.40934234787995
"SOM_2020_08_lhz_nw_pastoral","som_202008_lhz_nwhawd_pastoral.as","FSNAU",NA,NA,"other","2020-08-16","2020-09-01",109,0.99,1,2,0,"multi-stage cluster",0.068618640182779,0.674607529863283,0.0182896159079629,0.257442135703009,8.61127785615308e-11,0.0209303804950206,8.26516072054373e-11,8.97188921342526e-11,0.0687987396471465,0.989613341952906,0.0098901891957988,0.478582005190201,0.0684394772857903,0.981056528155189,0.0100049404526259,0.468164910459099,2.67605776482384e-11,0.0416051356508174,2.67605776482384e-11,0.0416051356508174,17.5320620595315,9.767610841607e-10,127.73359530162,-127.733595300643,4.78219696969697,0.49869109947644,0.244408868761591,0.5,0,0.5,0,NA,NA,NA,NA,0.994778067691374
"SOM_2020_08_lhz_riverine_riverine","som_202008_lhz_pump_riverine.as","FSNAU",NA,NA,"other","2020-08-18","2020-08-24",109,0.92,1,2,0,"multi-stage cluster",0.232212080631378,0.36250605167142,0.114107299963877,0.472559164998417,0.435434749392808,0.550342121561461,0.148068410137644,1.28051230375556,0.235944584531882,0.547717449830429,0.0806461256596973,0.69029784772095,0.228595812172915,0.556469176624615,0.0768054687695334,0.680368809411173,2.92910956701916e-11,0.0253842807846147,2.92910956701916e-11,0.0253842807846147,32.4903390103343,1.069124991962e-09,8.4757406113758,-8.47574061030667,4.69047619047619,0.492090276313014,0.266643936745326,0,0,1,0,0.666666666666667,NA,NA,NA,0.968853820597124
"SOM_2020_08_lhz_shabelle_NA","som_202008_lhz_srainfed.as","FSNAU",NA,NA,"other","2020-08-19","2020-08-27",109,0.98,1,2,0,"multi-stage cluster",0.170764298308169,0.593696183697261,0.053337503448051,0.546715607060288,0.568354887441535,0.706402829893438,0.142336856738376,2.26945631286789,0.0847120214870389,1.00162683426458,0.0118944145765589,0.603319023246676,0.258188890996599,0.7313846073628,0.0615701775270431,1.0826914280826,0.0853821494603524,0.691203066694152,2.76728201120622e-11,0.0249661107285348,56.0960719942637,1.01005793409027e-09,24.931587553104,-24.9315875520939,4.89016018306636,0.503955328059563,0.225340234706171,0.25,0.5,0.25,0,0.333333333333333,1,NA,NA,3.04784240140111
"SOM_2020_08_lhz_westgolis_NA","som_202008_lhz_westgolis.as","FSNAU",NA,NA,"other","2020-08-17","2020-08-24",109,0.92,1,2,0,"multi-stage cluster",0.888123129390667,0.146679729872907,0.666218784635301,1.18393943723825,0.400847974677569,0.561213584764065,0.133433551689001,1.20418812786764,0.5287787857016,0.272300653353912,0.310089476389843,0.901697817879307,1.25307675095131,0.17950455177256,0.881414748492703,1.78145571816205,0.14802052156511,0.409897991415923,0.177624633410534,0.437080433691912,34.5775938376126,8.00552585989926e-10,84.2828849791706,-84.28288497837,5.906,0.503872216844143,0.22156108687292,0.666666666666667,0.208333333333333,0.125,0.25,0.666666666666667,0.6,0,0.5,2.36975609618811
"SOM_2020_12_lhz_coastal_pastoral","som_202012_lhz_coastaldeeh_pastoral.as","FSNAU",NA,NA,"other","2020-12-05","2020-12-14",95,0.94,1,2,0,"multi-stage cluster",0.055343405833503,0.996685133100231,0.0078463986465111,0.390356481646994,0.208819715212841,0.986580329807753,0.0301979435184086,1.44399480166555,0.11336904458351,1.00042992912724,0.0159555338274178,0.805522423053757,6.65383122927952e-11,0.035891687713551,6.20183431502969e-11,7.13877020552481e-11,3.34101150618614e-11,0.0233923220658445,3.34101150618614e-11,0.0233923220658445,82.8214068293775,1.21946919975794e-09,197.963362665343,-197.963362664123,4.34803921568627,0.488170347003155,0.265029601140832,1,0,0,0,0,NA,NA,NA,5.86917818150808e-10
"SOM_2020_12_lhz_eastgolis_NA","som_202012_lhz_eastgolis.as","FSNAU",NA,NA,"other","2020-12-06","2020-12-16",95,0.82,1,2,0,"multi-stage cluster",0.32410825321235,0.350512170591389,0.163052742238212,0.644246507960555,0.262142099569005,0.697891990445301,0.066754280344047,1.02942433072869,0.21208158093075,0.539814873715195,0.0736212615578183,0.610945751517206,0.440431622990551,0.433488466142185,0.188315324124364,1.0300808786118,0.0360120280436916,0.991663234623097,2.96235820413093e-11,0.0349302965890886,80.18078038065,1.08126074450779e-09,144.588292489691,-144.58829248861,5.02717391304348,0.509408142319535,0.27475196715703,0.666666666666667,0.111111111111111,0.222222222222222,0,0.5,0,NA,NA,2.07670850555553
"SOM_2020_12_lhz_gedo_pastoral","som_202012_lhz_si_pastoral.as","FSNAU",NA,NA,"other","2020-12-05","2020-12-12",95,0.84,1,2,0,"multi-stage cluster",0.303289610071767,0.389624902560071,0.141319509100961,0.650898012331537,0.480543474926677,0.556789571853934,0.161355522056408,1.43113807542253,0.350877192982682,0.46667091047423,0.140577832051699,0.875776804625422,0.256843817574503,0.552396384034491,0.0869880953067287,0.758365226800659,0.0433270870145783,0.996709147241968,0.0866541748772739,0.692381789761315,33.2102121944262,1.11987912874069e-09,17.3958254358653,-17.3958254347455,5.06932773109244,0.493928791932496,0.27048803660486,0.2,0.2,0.6,0.4,0.666666666666667,1,0,0.5,0.732004880086864
