"","date","variable","spi3","district"
"129",1992-09-01,"spi",0.55794264380763,"adanyabaal"
"130",1992-10-01,"spi",0.144206148400253,"adanyabaal"
"131",1992-11-01,"spi",-0.637795257895975,"adanyabaal"
"132",1992-12-01,"spi",-0.674287151688479,"adanyabaal"
"133",1993-01-01,"spi",-0.961959100955862,"adanyabaal"
"134",1993-02-01,"spi",-0.0787232236130951,"adanyabaal"
"135",1993-03-01,"spi",0.0444004531005611,"adanyabaal"
"136",1993-04-01,"spi",-0.206773190256618,"adanyabaal"
"137",1993-05-01,"spi",0.268305827061238,"adanyabaal"
"138",1993-06-01,"spi",-0.428097711569747,"adanyabaal"
"139",1993-07-01,"spi",-0.150690181695259,"adanyabaal"
"140",1993-08-01,"spi",-1.69292518690452,"adanyabaal"
"141",1993-09-01,"spi",-2.48604699235059,"adanyabaal"
"142",1993-10-01,"spi",-0.319322258720175,"adanyabaal"
"143",1993-11-01,"spi",-0.0682092932545536,"adanyabaal"
"144",1993-12-01,"spi",1.16022329500375,"adanyabaal"
"145",1994-01-01,"spi",0.56486502612452,"adanyabaal"
"146",1994-02-01,"spi",0.0670127522467191,"adanyabaal"
"147",1994-03-01,"spi",0.0621310956373509,"adanyabaal"
"148",1994-04-01,"spi",-0.399560084113136,"adanyabaal"
"149",1994-05-01,"spi",0.487672384797485,"adanyabaal"
"150",1994-06-01,"spi",0.501325065314614,"adanyabaal"
"151",1994-07-01,"spi",-0.0777220439611395,"adanyabaal"
"152",1994-08-01,"spi",1.5260477982733,"adanyabaal"
"153",1994-09-01,"spi",0.650298513058023,"adanyabaal"
"154",1994-10-01,"spi",1.77041608650045,"adanyabaal"
"155",1994-11-01,"spi",0.97723121361231,"adanyabaal"
"156",1994-12-01,"spi",0.424928277329604,"adanyabaal"
"157",1995-01-01,"spi",0.588058567685476,"adanyabaal"
"158",1995-02-01,"spi",-0.342387641819762,"adanyabaal"
"159",1995-03-01,"spi",0.0822046908528205,"adanyabaal"
"160",1995-04-01,"spi",-0.235857316224881,"adanyabaal"
"161",1995-05-01,"spi",-0.828351796753917,"adanyabaal"
"162",1995-06-01,"spi",1.11411952834417,"adanyabaal"
"163",1995-07-01,"spi",0.481126615479887,"adanyabaal"
"164",1995-08-01,"spi",1.39845630928261,"adanyabaal"
"165",1995-09-01,"spi",1.05660124784539,"adanyabaal"
"166",1995-10-01,"spi",0.346659882574111,"adanyabaal"
"167",1995-11-01,"spi",0.905915584260756,"adanyabaal"
"168",1995-12-01,"spi",-0.520410158530582,"adanyabaal"
"169",1996-01-01,"spi",-0.0842148774555412,"adanyabaal"
"170",1996-02-01,"spi",-1.330381495718,"adanyabaal"
"171",1996-03-01,"spi",-1.91985684744591,"adanyabaal"
"172",1996-04-01,"spi",-1.46703827373867,"adanyabaal"
"173",1996-05-01,"spi",-1.48753771091002,"adanyabaal"
"174",1996-06-01,"spi",-1.1492022412761,"adanyabaal"
"175",1996-07-01,"spi",-0.0495039456140636,"adanyabaal"
"176",1996-08-01,"spi",-0.383068954211173,"adanyabaal"
"177",1996-09-01,"spi",1.89036377806359,"adanyabaal"
"178",1996-10-01,"spi",0.928440410974639,"adanyabaal"
"179",1996-11-01,"spi",0.673044584278693,"adanyabaal"
"180",1996-12-01,"spi",-0.925370734755859,"adanyabaal"
"181",1997-01-01,"spi",-1.49671902981993,"adanyabaal"
"182",1997-02-01,"spi",0.0970857349940141,"adanyabaal"
"183",1997-03-01,"spi",-0.428769643523918,"adanyabaal"
"184",1997-04-01,"spi",0.68836944135996,"adanyabaal"
"185",1997-05-01,"spi",0.470769622308168,"adanyabaal"
"186",1997-06-01,"spi",0.156341844628155,"adanyabaal"
"187",1997-07-01,"spi",0.923922711981225,"adanyabaal"
"188",1997-08-01,"spi",0.717061898669258,"adanyabaal"
"189",1997-09-01,"spi",0.960223856335988,"adanyabaal"
"190",1997-10-01,"spi",-0.285714409345664,"adanyabaal"
"191",1997-11-01,"spi",-1.24795215049086,"adanyabaal"
"192",1997-12-01,"spi",0.00178289627127856,"adanyabaal"
"193",1998-01-01,"spi",-0.437592862538317,"adanyabaal"
"194",1998-02-01,"spi",-0.351026872520033,"adanyabaal"
"195",1998-03-01,"spi",-1.19122466744284,"adanyabaal"
"196",1998-04-01,"spi",-1.88533564411778,"adanyabaal"
"197",1998-05-01,"spi",-0.933551551044047,"adanyabaal"
"198",1998-06-01,"spi",-1.54060891222045,"adanyabaal"
"199",1998-07-01,"spi",-0.62526422990202,"adanyabaal"
"200",1998-08-01,"spi",-0.699489845500785,"adanyabaal"
"201",1998-09-01,"spi",-1.13327637413799,"adanyabaal"
"202",1998-10-01,"spi",-0.202055158694441,"adanyabaal"
"203",1998-11-01,"spi",-1.1531848418862,"adanyabaal"
"204",1998-12-01,"spi",0.87553076022605,"adanyabaal"
"205",1999-01-01,"spi",0.295164952942936,"adanyabaal"
"206",1999-02-01,"spi",1.37552103044898,"adanyabaal"
"207",1999-03-01,"spi",1.22689001515176,"adanyabaal"
"208",1999-04-01,"spi",1.10861487204712,"adanyabaal"
"209",1999-05-01,"spi",1.50880125030832,"adanyabaal"
"210",1999-06-01,"spi",0.381435099474196,"adanyabaal"
"211",1999-07-01,"spi",0.784109038741517,"adanyabaal"
"212",1999-08-01,"spi",-0.397672277851805,"adanyabaal"
"213",1999-09-01,"spi",-1.19484190411708,"adanyabaal"
"214",1999-10-01,"spi",-0.524334480564077,"adanyabaal"
"215",1999-11-01,"spi",-0.651132682583018,"adanyabaal"
"216",1999-12-01,"spi",-0.388105652184349,"adanyabaal"
"217",2000-01-01,"spi",-0.709685165250658,"adanyabaal"
"218",2000-02-01,"spi",-1.43987312745009,"adanyabaal"
"219",2000-03-01,"spi",0.846059845952117,"adanyabaal"
"220",2000-04-01,"spi",1.02399069805295,"adanyabaal"
"221",2000-05-01,"spi",1.23434417881219,"adanyabaal"
"222",2000-06-01,"spi",-0.154634814613775,"adanyabaal"
"223",2000-07-01,"spi",-0.605504076245524,"adanyabaal"
